start	end	text
0	4660	Hay algo que de verdad me vuela la cabeza cada vez que me meto a redes sociales.
5100	6040	A ver, cuéntame.
6040	11540	Me topo con estos perfiles o páginas con nombres súper aspiracionales.
11700	16540	Ya sabes, tipo viajero incansable, poeta de asfalto.
16860	18020	¿Maestro parrillero?
18160	20320	Ese, maestro parrillero.
20640	22000	Y me da curiosidad.
22280	25420	Le doy clic y, este, nada.
25880	29900	Un par de fotos de mala calidad, cero publicaciones en meses.
30480	32920	Se sienten como ciudades fantasma.
33360	34420	Sí, totalmente.
34760	36980	No es el spam de siempre.
37260	38120	Es otra cosa.
38600	42500	Es como un cementerio de sueños digitales.
42840	44440	Esa es la metáfora perfecta.
44760	46340	Un cementerio de sueños.
46980	52640	Son como locales comerciales con un letrero increíble que, pues, nunca llegaron a abrir.
53020	53660	Exacto.
53980	59140	Y lo que es interesante y el punto central de las fuentes que compartieron con nosotros
59140	65260	de un pensador que firma como Flicción es que esto no es culpa de la gente.
66020	66280	Ah, no.
66680	67200	No.
67840	70800	No es que seamos flojos o inconstantes.
71420	78220	Es una consecuencia directa, casi inevitable, de cómo están construidas estas plataformas.
78220	80300	Justo ahí quería llegar.
80700	85160	Porque hoy no vamos a clavarnos en si el contenido es bueno o malo.
85360	86020	No, para nada.
86440	90540	Vamos a meternos a las tuberías, a la arquitectura del sistema.
90540	97160	La misión es entender por qué estas plataformas que están obsesionadas con nuestra interacción,
97540	98820	el famoso engagement,
99080	100220	el bendito engagement,
100700	102560	terminan generando este vacío.
103320	107860	Y para eso, vamos a usar un concepto de las fuentes que me pareció clave.
108540	110480	El escape semántico.
110480	117160	Y agárrense, porque una vez que entendamos el diagnóstico, vamos a explorar la cura que proponen.
117660	119160	Y no es una aspirina, ¿eh?
119440	123720	Es una reinvención total de cómo se podría construir un espacio digital.
124440	125100	Suena intenso.
125400	128800	Vamos a empezar con algo que todos hemos visto en nuestras redes.
129320	134820	Y vamos a terminar hablando de cómo evitar que una inteligencia artificial se salga de control.
135420	137780	El viaje es intenso.
137780	140680	Venga, vamos a desglosar esto.
141320	145240	Empecemos por el diagnóstico, porque todo se siente tan hueco.
145900	151240	Flaxion dice que estas páginas aspiracionales son la prueba del delito.
151500	152760	Son los artefactos, ¿sí?
153500	158080	Artefactos de un sistema que prefiere que le demos clic a cualquier cosa
158080	161620	antes de que construyamos algo con significado real.
161620	167160	Lo fascinante aquí es cómo las fuentes describen un cambio radical en nuestra forma de participar.
167780	169740	Piensa en los foros o blogs de antes.
170420	172440	El objetivo era la expresión.
172740	174660	Claro, compartir lo que ya eras.
175060	175580	Exacto.
176100	178660	Tú ya eras, no sé, un aficionado a la astronomía.
178880	182380	Y creabas un espacio para compartir esa identidad que ya tenías.
183080	185160	Ahora, el modelo es de sondeo.
185320	185880	Sondeo.
186120	187900	Como una encuesta o algo así.
187900	198200	No creas la página Maestro Parrillero para decir, este soy yo, sino para preguntarle en voz baja al algoritmo.
198680	202660	Oye, si publico fotos de carne asada, ¿me vas a hacer caso?
203080	204440	¿La gente va a reaccionar?
204700	205300	Justo.
205620	210980	Es un acto de exploración para ver qué funciona, no una declaración de quién eres.
211680	215300	Estás sondeando al sistema en busca de una recompensa.
215300	220300	Claro, y a eso le sumas lo que las fuentes llaman el fracaso sin costo.
221200	222800	Crear la página es gratis.
222940	223380	Gratis.
223580	225620	Y dejarla morir no te cuesta nada.
226200	228760	No hay una mancha en tu currículum digital.
229100	229640	Para nada.
229900	240520	Es como si pudieras abrir 10 negocios en la calle principal, y si no funcionan, simplemente desaparecen al día siguiente sin dejar deudas ni mala reputación.
241000	243220	Es una analogía brillante que usan.
243220	245880	Es un sistema sin termodinámica.
246440	247860	No hay disipación de energía.
248400	249600	No hay consecuencias.
250080	251480	Cero consecuencias.
251680	257500	Todos esos intentos fallidos, ese desecho semántico, no se limpia.
257980	264220	Se queda ahí, acumulándose, haciendo que el espacio se sienta cada vez más ruidoso, más falso.
265280	267100	Más lleno de fantasmas.
267600	271120	¿Y qué es lo que alimenta a esta máquina de crear fantasmas?
271120	275460	La optimización de la interacción, el famoso engagement.
